time,algorithm,allocatedBytes,freeBytes,requiredBytes,externalFragments,percentMemoryInUse,percentMemoryFree,percentInternalFragmentation
2000,FF,36504,3496,33355,176,91,8,8
2000,NF,36240,3760,33113,203,90,9,8
2000,BF,37240,2760,34056,120,93,6,8
2000,WF,34304,5696,31265,291,85,14,8
2020,FF,32856,7144,29913,209,82,17,8
2020,NF,31512,8488,28694,300,78,21,8
2020,BF,33704,6296,30707,135,84,15,8
2020,WF,29296,10704,26621,391,73,26,9
2040,FF,2168,37832,1962,59,5,94,9
2040,NF,2168,37832,1962,58,5,94,9
2040,BF,2168,37832,1962,55,5,94,9
2040,WF,2024,37976,1834,55,5,94,9
2060,FF,0,40000,0,1,0,100,0
2060,NF,0,40000,0,1,0,100,0
2060,BF,0,40000,0,1,0,100,0
2060,WF,0,40000,0,1,0,100,0
2080,FF,0,40000,0,1,0,100,0
2080,NF,0,40000,0,1,0,100,0
2080,BF,0,40000,0,1,0,100,0
2080,WF,0,40000,0,1,0,100,0
2100,FF,0,40000,0,1,0,100,0
2100,NF,0,40000,0,1,0,100,0
2100,BF,0,40000,0,1,0,100,0
2100,WF,0,40000,0,1,0,100,0
2120,FF,0,40000,0,1,0,100,0
2120,NF,0,40000,0,1,0,100,0
2120,BF,0,40000,0,1,0,100,0
2120,WF,0,40000,0,1,0,100,0
2140,FF,0,40000,0,1,0,100,0
2140,NF,0,40000,0,1,0,100,0
2140,BF,0,40000,0,1,0,100,0
2140,WF,0,40000,0,1,0,100,0
2160,FF,0,40000,0,1,0,100,0
2160,NF,0,40000,0,1,0,100,0
2160,BF,0,40000,0,1,0,100,0
2160,WF,0,40000,0,1,0,100,0
2180,FF,0,40000,0,1,0,100,0
2180,NF,0,40000,0,1,0,100,0
2180,BF,0,40000,0,1,0,100,0
2180,WF,0,40000,0,1,0,100,0
2200,FF,0,40000,0,1,0,100,0
2200,NF,0,40000,0,1,0,100,0
2200,BF,0,40000,0,1,0,100,0
2200,WF,0,40000,0,1,0,100,0
2220,FF,0,40000,0,1,0,100,0
2220,NF,0,40000,0,1,0,100,0
2220,BF,0,40000,0,1,0,100,0
2220,WF,0,40000,0,1,0,100,0
2240,FF,0,40000,0,1,0,100,0
2240,NF,0,40000,0,1,0,100,0
2240,BF,0,40000,0,1,0,100,0
2240,WF,0,40000,0,1,0,100,0
2260,FF,0,40000,0,1,0,100,0
2260,NF,0,40000,0,1,0,100,0
2260,BF,0,40000,0,1,0,100,0
2260,WF,0,40000,0,1,0,100,0
2280,FF,0,40000,0,1,0,100,0
2280,NF,0,40000,0,1,0,100,0
2280,BF,0,40000,0,1,0,100,0
2280,WF,0,40000,0,1,0,100,0
2300,FF,0,40000,0,1,0,100,0
2300,NF,0,40000,0,1,0,100,0
2300,BF,0,40000,0,1,0,100,0
2300,WF,0,40000,0,1,0,100,0
2320,FF,0,40000,0,1,0,100,0
2320,NF,0,40000,0,1,0,100,0
2320,BF,0,40000,0,1,0,100,0
2320,WF,0,40000,0,1,0,100,0
2340,FF,0,40000,0,1,0,100,0
2340,NF,0,40000,0,1,0,100,0
2340,BF,0,40000,0,1,0,100,0
2340,WF,0,40000,0,1,0,100,0
2360,FF,0,40000,0,1,0,100,0
2360,NF,0,40000,0,1,0,100,0
2360,BF,0,40000,0,1,0,100,0
2360,WF,0,40000,0,1,0,100,0
2380,FF,0,40000,0,1,0,100,0
2380,NF,0,40000,0,1,0,100,0
2380,BF,0,40000,0,1,0,100,0
2380,WF,0,40000,0,1,0,100,0
2400,FF,0,40000,0,1,0,100,0
2400,NF,0,40000,0,1,0,100,0
2400,BF,0,40000,0,1,0,100,0
2400,WF,0,40000,0,1,0,100,0
2420,FF,0,40000,0,1,0,100,0
2420,NF,0,40000,0,1,0,100,0
2420,BF,0,40000,0,1,0,100,0
2420,WF,0,40000,0,1,0,100,0
2440,FF,0,40000,0,1,0,100,0
2440,NF,0,40000,0,1,0,100,0
2440,BF,0,40000,0,1,0,100,0
2440,WF,0,40000,0,1,0,100,0
2460,FF,0,40000,0,1,0,100,0
2460,NF,0,40000,0,1,0,100,0
2460,BF,0,40000,0,1,0,100,0
2460,WF,0,40000,0,1,0,100,0
2480,FF,0,40000,0,1,0,100,0
2480,NF,0,40000,0,1,0,100,0
2480,BF,0,40000,0,1,0,100,0
2480,WF,0,40000,0,1,0,100,0
2500,FF,0,40000,0,1,0,100,0
2500,NF,0,40000,0,1,0,100,0
2500,BF,0,40000,0,1,0,100,0
2500,WF,0,40000,0,1,0,100,0
2520,FF,0,40000,0,1,0,100,0
2520,NF,0,40000,0,1,0,100,0
2520,BF,0,40000,0,1,0,100,0
2520,WF,0,40000,0,1,0,100,0
2540,FF,0,40000,0,1,0,100,0
2540,NF,0,40000,0,1,0,100,0
2540,BF,0,40000,0,1,0,100,0
2540,WF,0,40000,0,1,0,100,0
2560,FF,0,40000,0,1,0,100,0
2560,NF,0,40000,0,1,0,100,0
2560,BF,0,40000,0,1,0,100,0
2560,WF,0,40000,0,1,0,100,0
2580,FF,0,40000,0,1,0,100,0
2580,NF,0,40000,0,1,0,100,0
2580,BF,0,40000,0,1,0,100,0
2580,WF,0,40000,0,1,0,100,0
2600,FF,0,40000,0,1,0,100,0
2600,NF,0,40000,0,1,0,100,0
2600,BF,0,40000,0,1,0,100,0
2600,WF,0,40000,0,1,0,100,0
2620,FF,0,40000,0,1,0,100,0
2620,NF,0,40000,0,1,0,100,0
2620,BF,0,40000,0,1,0,100,0
2620,WF,0,40000,0,1,0,100,0
2640,FF,0,40000,0,1,0,100,0
2640,NF,0,40000,0,1,0,100,0
2640,BF,0,40000,0,1,0,100,0
2640,WF,0,40000,0,1,0,100,0
2660,FF,0,40000,0,1,0,100,0
2660,NF,0,40000,0,1,0,100,0
2660,BF,0,40000,0,1,0,100,0
