time,jobId,event,sizeBytes,location
1,0,alloc,138,0
1,0,alloc,89,18
1,0,alloc,42,30
1,0,alloc,37,36
1,0,alloc,22,41
1,0,alloc,46,44
1,0,alloc,36,50
1,0,alloc,35,55
1,0,alloc,34,60
1,0,alloc,47,65
1,0,alloc,27,71
1,0,alloc,46,75
1,0,alloc,49,81
1,0,alloc,29,88
1,0,alloc,30,92
1,0,alloc,47,96
1,0,alloc,24,102
1,0,alloc,24,105
1,0,alloc,37,108
1,0,alloc,35,113
1,0,alloc,48,118
1,0,alloc,39,124
1,0,alloc,36,129
1,0,alloc,33,134
1,0,alloc,28,139
1,0,alloc,23,143
1,0,alloc,25,146
2,0,alloc,43,150
2,0,alloc,39,156
2,0,alloc,20,161
2,0,alloc,39,164
2,0,alloc,36,169
2,0,alloc,47,174
2,0,alloc,49,180
2,0,alloc,37,187
2,0,alloc,29,192
2,0,alloc,46,196
2,0,alloc,28,202
2,0,alloc,43,206
2,0,alloc,29,212
2,0,alloc,45,216
2,0,alloc,22,222
2,0,alloc,37,225
2,0,alloc,48,230
2,0,alloc,22,236
2,0,alloc,50,239
2,0,alloc,38,246
2,0,alloc,28,251
2,0,alloc,39,255
2,0,alloc,40,260
2,0,alloc,33,265
2,0,alloc,22,270
2,0,free,0,81
2,0,free,0,113
3,0,alloc,24,113
3,0,alloc,41,81
3,0,alloc,42,273
3,0,alloc,22,279
3,0,alloc,47,282
3,0,alloc,29,288
3,0,alloc,23,292
3,0,alloc,37,295
3,0,alloc,47,300
3,0,alloc,39,306
3,0,alloc,32,311
3,0,alloc,46,315
3,0,alloc,20,321
3,0,alloc,40,324
3,0,alloc,20,329
3,0,alloc,24,332
3,0,alloc,40,335
3,0,alloc,35,340
3,0,alloc,24,345
3,0,alloc,23,348
3,0,alloc,45,351
3,0,alloc,50,357
3,0,alloc,38,364
3,0,alloc,24,369
3,0,alloc,22,372
3,0,free,0,118
3,0,free,0,255
3,0,free,0,180
4,0,alloc,49,180
4,0,alloc,28,255
4,0,alloc,26,116
4,0,alloc,23,120
4,0,alloc,50,375
4,0,alloc,21,382
4,0,alloc,24,385
4,0,alloc,40,388
4,0,alloc,27,393
4,0,alloc,40,397
4,0,alloc,20,402
4,0,alloc,33,405
4,0,alloc,26,410
4,0,alloc,45,414
4,0,alloc,35,420
4,0,alloc,29,425
4,0,alloc,46,429
4,0,alloc,29,435
4,0,alloc,36,439
4,0,alloc,35,444
4,0,alloc,40,449
4,0,alloc,31,454
4,0,alloc,21,458
4,0,alloc,20,461
4,0,alloc,24,464
4,0,free,0,225
4,0,free,0,134
4,0,free,0,239
5,0,alloc,50,239
5,0,alloc,39,134
5,0,alloc,21,225
5,0,alloc,43,467
5,0,alloc,39,473
5,0,alloc,40,478
5,0,alloc,38,483
5,0,alloc,48,488
5,0,alloc,44,494
5,0,alloc,32,-1
5,0,alloc,29,-1
5,0,alloc,32,-1
5,0,alloc,45,-1
5,0,alloc,21,-1
5,0,alloc,24,-1
5,0,alloc,25,-1
5,0,alloc,46,-1
5,0,alloc,23,-1
5,0,alloc,38,-1
5,0,alloc,26,-1
5,0,alloc,48,-1
5,0,alloc,21,-1
5,0,alloc,41,-1
5,0,alloc,38,-1
5,0,alloc,50,-1
5,0,free,0,139
5,0,free,0,397
5,0,free,0,454
5,0,free,0,357
5,0,free,0,458
5,0,free,0,372
5,0,free,0,202
5,0,free,0,393
6,0,alloc,37,357
6,0,alloc,25,139
6,0,alloc,39,454
6,0,alloc,29,202
6,0,alloc,38,393
6,0,alloc,49,-1
6,0,alloc,25,398
6,0,alloc,22,372
6,0,alloc,47,-1
6,0,alloc,37,-1
6,0,alloc,50,-1
6,0,alloc,36,-1
6,0,alloc,26,-1
6,0,alloc,44,-1
6,0,alloc,22,-1
6,0,alloc,22,-1
6,0,alloc,23,-1
6,0,alloc,30,-1
6,0,alloc,40,-1
6,0,alloc,43,-1
6,0,alloc,36,-1
6,0,alloc,48,-1
6,0,alloc,44,-1
6,0,alloc,32,-1
6,0,alloc,42,-1
6,0,free,0,375
6,0,free,0,108
6,0,free,0,260
7,1,alloc,142,-1
7,1,alloc,102,-1
7,0,alloc,45,259
7,0,alloc,26,108
7,0,alloc,35,375
7,0,alloc,23,-1
7,0,alloc,36,-1
7,0,alloc,30,-1
7,0,alloc,36,-1
7,0,alloc,33,-1
7,0,alloc,37,-1
7,0,alloc,37,-1
7,0,alloc,24,-1
7,0,alloc,47,-1
7,0,alloc,50,-1
7,0,alloc,31,-1
7,0,alloc,41,-1
7,0,alloc,39,-1
7,0,alloc,49,-1
7,0,alloc,46,-1
7,0,alloc,42,-1
7,0,alloc,47,-1
7,0,alloc,26,-1
7,0,alloc,24,-1
7,0,alloc,38,-1
7,0,alloc,23,-1
7,0,alloc,20,-1
7,1,alloc,49,-1
7,1,alloc,28,-1
7,1,alloc,47,-1
7,1,alloc,38,-1
7,1,alloc,30,-1
7,1,alloc,22,-1
7,1,alloc,50,-1
7,1,alloc,31,-1
7,1,alloc,25,-1
7,1,alloc,42,-1
7,1,alloc,44,-1
7,1,alloc,47,-1
7,1,alloc,44,-1
7,1,alloc,25,-1
7,1,alloc,48,-1
7,1,alloc,21,-1
7,1,alloc,44,-1
7,1,alloc,39,-1
7,1,alloc,27,-1
7,1,alloc,49,-1
7,1,alloc,36,-1
7,1,alloc,47,-1
7,1,alloc,40,-1
7,1,alloc,28,-1
7,1,alloc,46,-1
7,0,free,0,398
7,0,free,0,435
7,0,free,0,222
7,0,free,0,60
7,0,free,0,329
7,0,free,0,388
8,0,alloc,21,222
8,0,alloc,31,398
8,0,alloc,49,-1
8,0,alloc,41,-1
8,0,alloc,50,-1
8,0,alloc,45,-1
8,0,alloc,44,-1
8,0,alloc,47,-1
8,0,alloc,38,60
8,0,alloc,26,435
8,0,alloc,23,329
8,0,alloc,40,388
8,0,alloc,20,-1
8,0,alloc,41,-1
8,0,alloc,23,-1
8,0,alloc,37,-1
8,0,alloc,47,-1
8,0,alloc,36,-1
8,0,alloc,32,-1
8,0,alloc,23,-1
8,0,alloc,40,-1
8,0,alloc,39,-1
8,0,alloc,46,-1
8,0,alloc,28,-1
8,0,alloc,50,-1
8,1,alloc,40,-1
8,1,alloc,35,-1
8,1,alloc,27,-1
8,1,alloc,42,-1
8,1,alloc,27,-1
8,1,alloc,20,-1
8,1,alloc,28,-1
8,1,alloc,31,-1
8,1,alloc,28,-1
8,1,alloc,24,-1
8,1,alloc,27,-1
8,1,alloc,25,-1
8,1,alloc,27,-1
8,1,alloc,34,-1
8,1,alloc,30,-1
8,1,alloc,43,-1
8,1,alloc,45,-1
8,1,alloc,49,-1
8,1,alloc,39,-1
8,1,alloc,32,-1
8,1,alloc,41,-1
8,1,alloc,30,-1
8,1,alloc,23,-1
8,1,alloc,34,-1
8,1,alloc,44,-1
8,0,free,0,273
8,0,free,0,402
8,0,free,0,467
8,0,free,0,129
8,0,free,0,134
9,0,alloc,49,129
9,0,alloc,34,273
9,0,alloc,24,136
9,0,alloc,29,467
9,0,alloc,25,-1
9,0,alloc,39,-1
9,0,alloc,34,-1
9,0,alloc,31,-1
9,0,alloc,39,-1
9,0,alloc,23,402
9,0,alloc,43,-1
9,0,alloc,21,-1
9,0,alloc,24,-1
9,0,alloc,38,-1
9,0,alloc,24,-1
9,0,alloc,30,-1
9,0,alloc,22,-1
9,0,alloc,50,-1
9,0,alloc,34,-1
9,0,alloc,24,-1
9,0,alloc,37,-1
9,0,alloc,23,-1
9,0,alloc,39,-1
9,0,alloc,42,-1
9,0,alloc,42,-1
9,1,alloc,22,-1
9,1,alloc,34,-1
9,1,alloc,46,-1
9,1,alloc,38,-1
9,1,alloc,47,-1
9,1,alloc,36,-1
9,1,alloc,40,-1
9,1,alloc,42,-1
9,1,alloc,22,-1
9,1,alloc,26,-1
9,1,alloc,23,-1
9,1,alloc,27,-1
