time,jobId,event,sizeBytes,location
1,0,alloc,138,0
1,0,alloc,89,18
1,0,alloc,42,30
1,0,alloc,37,36
1,0,alloc,22,41
1,0,alloc,46,44
1,0,alloc,36,50
1,0,alloc,35,55
1,0,alloc,34,60
1,0,alloc,47,65
1,0,alloc,27,71
1,0,alloc,46,75
1,0,alloc,49,81
1,0,alloc,29,88
1,0,alloc,30,92
1,0,alloc,47,96
1,0,alloc,24,102
1,0,alloc,24,105
1,0,alloc,37,108
1,0,alloc,35,113
1,0,alloc,48,118
1,0,alloc,39,124
1,0,alloc,36,129
1,0,alloc,33,134
1,0,alloc,28,139
1,0,alloc,23,143
1,0,alloc,25,146
2,0,alloc,43,150
2,0,alloc,39,156
2,0,alloc,20,161
2,0,alloc,39,164
2,0,alloc,36,169
2,0,alloc,47,174
2,0,alloc,49,180
2,0,alloc,37,187
2,0,alloc,29,192
2,0,alloc,46,196
2,0,alloc,28,202
2,0,alloc,43,206
2,0,alloc,29,212
2,0,alloc,45,216
2,0,alloc,22,222
2,0,alloc,37,225
2,0,alloc,48,230
2,0,alloc,22,236
2,0,alloc,50,239
2,0,alloc,38,246
2,0,alloc,28,251
2,0,alloc,39,255
2,0,alloc,40,260
2,0,alloc,33,265
2,0,alloc,22,270
2,0,free,0,81
2,0,free,0,113
3,0,alloc,24,81
3,0,alloc,41,273
3,0,alloc,42,279
3,0,alloc,22,84
3,0,alloc,47,285
3,0,alloc,29,113
3,0,alloc,23,291
3,0,alloc,37,294
3,0,alloc,47,299
3,0,alloc,39,305
3,0,alloc,32,310
3,0,alloc,46,314
3,0,alloc,20,320
3,0,alloc,40,323
3,0,alloc,20,328
3,0,alloc,24,331
3,0,alloc,40,334
3,0,alloc,35,339
3,0,alloc,24,344
3,0,alloc,23,347
3,0,alloc,45,350
3,0,alloc,50,356
3,0,alloc,38,363
3,0,alloc,24,368
3,0,alloc,22,371
3,0,free,0,118
3,0,free,0,255
3,0,free,0,180
4,0,alloc,49,117
4,0,alloc,28,180
4,0,alloc,26,255
4,0,alloc,23,184
4,0,alloc,50,374
4,0,alloc,21,381
4,0,alloc,24,384
4,0,alloc,40,387
4,0,alloc,27,392
4,0,alloc,40,396
4,0,alloc,20,401
4,0,alloc,33,404
4,0,alloc,26,409
4,0,alloc,45,413
4,0,alloc,35,419
4,0,alloc,29,424
4,0,alloc,46,428
4,0,alloc,29,434
4,0,alloc,36,438
4,0,alloc,35,443
4,0,alloc,40,448
4,0,alloc,31,453
4,0,alloc,21,457
4,0,alloc,20,460
4,0,alloc,24,463
4,0,free,0,225
4,0,free,0,134
4,0,free,0,239
5,0,alloc,50,239
5,0,alloc,39,134
5,0,alloc,21,225
5,0,alloc,43,466
5,0,alloc,39,472
5,0,alloc,40,477
5,0,alloc,38,482
5,0,alloc,48,487
5,0,alloc,44,493
5,0,alloc,32,-1
5,0,alloc,29,-1
5,0,alloc,32,-1
5,0,alloc,45,-1
5,0,alloc,21,-1
5,0,alloc,24,-1
5,0,alloc,25,-1
5,0,alloc,46,-1
5,0,alloc,23,-1
5,0,alloc,38,-1
5,0,alloc,26,-1
5,0,alloc,48,-1
5,0,alloc,21,-1
5,0,alloc,41,-1
5,0,alloc,38,-1
5,0,alloc,50,-1
5,0,free,0,139
5,0,free,0,396
5,0,free,0,453
5,0,free,0,356
5,0,free,0,457
5,0,free,0,371
5,0,free,0,202
5,0,free,0,392
6,0,alloc,37,356
6,0,alloc,25,139
6,0,alloc,39,392
6,0,alloc,29,202
6,0,alloc,38,453
6,0,alloc,49,-1
6,0,alloc,25,397
6,0,alloc,22,371
6,0,alloc,47,-1
6,0,alloc,37,-1
6,0,alloc,50,-1
6,0,alloc,36,-1
6,0,alloc,26,-1
6,0,alloc,44,-1
6,0,alloc,22,-1
6,0,alloc,22,-1
6,0,alloc,23,-1
6,0,alloc,30,-1
6,0,alloc,40,-1
6,0,alloc,43,-1
6,0,alloc,36,-1
6,0,alloc,48,-1
6,0,alloc,44,-1
6,0,alloc,32,-1
6,0,alloc,42,-1
6,0,free,0,374
6,0,free,0,108
6,0,free,0,260
7,1,alloc,142,-1
7,1,alloc,102,-1
7,0,alloc,45,259
7,0,alloc,26,108
7,0,alloc,35,374
7,0,alloc,23,-1
7,0,alloc,36,-1
7,0,alloc,30,-1
7,0,alloc,36,-1
7,0,alloc,33,-1
7,0,alloc,37,-1
7,0,alloc,37,-1
7,0,alloc,24,-1
7,0,alloc,47,-1
7,0,alloc,50,-1
7,0,alloc,31,-1
7,0,alloc,41,-1
7,0,alloc,39,-1
7,0,alloc,49,-1
7,0,alloc,46,-1
7,0,alloc,42,-1
7,0,alloc,47,-1
7,0,alloc,26,-1
7,0,alloc,24,-1
7,0,alloc,38,-1
7,0,alloc,23,-1
7,0,alloc,20,-1
7,1,alloc,49,-1
7,1,alloc,28,-1
7,1,alloc,47,-1
7,1,alloc,38,-1
7,1,alloc,30,-1
7,1,alloc,22,-1
7,1,alloc,50,-1
7,1,alloc,31,-1
7,1,alloc,25,-1
7,1,alloc,42,-1
7,1,alloc,44,-1
7,1,alloc,47,-1
7,1,alloc,44,-1
7,1,alloc,25,-1
7,1,alloc,48,-1
7,1,alloc,21,-1
7,1,alloc,44,-1
7,1,alloc,39,-1
7,1,alloc,27,-1
7,1,alloc,49,-1
7,1,alloc,36,-1
7,1,alloc,47,-1
7,1,alloc,40,-1
7,1,alloc,28,-1
7,1,alloc,46,-1
7,0,free,0,397
7,0,free,0,434
7,0,free,0,222
7,0,free,0,60
7,0,free,0,328
7,0,free,0,387
8,0,alloc,21,60
8,0,alloc,31,387
8,0,alloc,49,-1
8,0,alloc,41,-1
8,0,alloc,50,-1
8,0,alloc,45,-1
8,0,alloc,44,-1
8,0,alloc,47,-1
8,0,alloc,38,-1
8,0,alloc,26,397
8,0,alloc,23,222
8,0,alloc,40,-1
8,0,alloc,20,328
8,0,alloc,41,-1
8,0,alloc,23,434
8,0,alloc,37,-1
8,0,alloc,47,-1
8,0,alloc,36,-1
8,0,alloc,32,-1
8,0,alloc,23,-1
8,0,alloc,40,-1
8,0,alloc,39,-1
8,0,alloc,46,-1
8,0,alloc,28,-1
8,0,alloc,50,-1
8,1,alloc,40,-1
8,1,alloc,35,-1
8,1,alloc,27,-1
8,1,alloc,42,-1
8,1,alloc,27,-1
8,1,alloc,20,-1
8,1,alloc,28,-1
8,1,alloc,31,-1
8,1,alloc,28,-1
8,1,alloc,24,-1
8,1,alloc,27,-1
8,1,alloc,25,-1
8,1,alloc,27,-1
8,1,alloc,34,-1
8,1,alloc,30,-1
8,1,alloc,43,-1
8,1,alloc,45,-1
8,1,alloc,49,-1
8,1,alloc,39,-1
8,1,alloc,32,-1
8,1,alloc,41,-1
8,1,alloc,30,-1
8,1,alloc,23,-1
8,1,alloc,34,-1
8,1,alloc,44,-1
8,0,free,0,279
8,0,free,0,401
8,0,free,0,466
8,0,free,0,129
8,0,free,0,134
9,0,alloc,49,129
9,0,alloc,34,279
9,0,alloc,24,136
9,0,alloc,29,466
9,0,alloc,25,-1
9,0,alloc,39,-1
9,0,alloc,34,-1
9,0,alloc,31,-1
9,0,alloc,39,-1
9,0,alloc,23,401
9,0,alloc,43,-1
9,0,alloc,21,-1
9,0,alloc,24,-1
9,0,alloc,38,-1
9,0,alloc,24,-1
9,0,alloc,30,-1
9,0,alloc,22,-1
9,0,alloc,50,-1
9,0,alloc,34,-1
9,0,alloc,24,-1
9,0,alloc,37,-1
9,0,alloc,23,-1
9,0,alloc,39,-1
9,0,alloc,42,-1
9,0,alloc,42,-1
9,1,alloc,22,-1
9,1,alloc,34,-1
9,1,alloc,46,-1
9,1,alloc,38,-1
9,1,alloc,47,-1
9,1,alloc,36,-1
9,1,alloc,40,-1
9,1,alloc,42,-1
9,1,alloc,22,-1
9,1,alloc,26,-1
9,1,alloc,23,-1
9,1,alloc,27,-1
